"CompanyName,Industry,Valuation,Date,Country"
"Stripe,Fintech,7.23,2019-05-12,USA"
"SpaceX,AI,4.56,2021-11-03,China"
"Instacart,Health Tech,2.89,2017-08-25,India"
"Klarna,E-commerce,9.12,2022-02-17,UK"
"Epic Games,Biotech,5.67,2020-09-30,Germany"
"Databricks,EdTech,3.45,2018-03-14,Brazil"
"UiPath,Fintech,6.78,2021-07-22,USA"
"Chime,AI,1.23,2016-12-05,China"
"Robinhood,Health Tech,8.90,2022-01-09,India"
"Nubank,E-commerce,4.32,2019-10-18,UK"
"Rivian,Biotech,2.56,2020-04-03,Germany"
"Grab,EdTech,7.89,2018-06-29,Brazil"
"Bytedance,Fintech,5.43,2021-12-11,USA"
"Didi Chuxing,AI,3.21,2017-02-14,China"
"Airbnb,Health Tech,9.76,2022-03-25,India"
"Palantir,E-commerce,1.98,2019-08-07,UK"
"DoorDash,Biotech,6.54,2020-11-19,Germany"
"Snapchat,EdTech,4.87,2018-01-30,Brazil"
"Pinterest,Fintech,3.65,2021-09-05,USA"
"WeWork,AI,8.32,2016-07-13,China"
"Stripe,Health Tech,2.10,2022-04-28,India"
"SpaceX,E-commerce,7.65,2019-12-22,UK"
"Instacart,Biotech,5.89,2020-06-16,Germany"
"Klarna,EdTech,1.43,2017-10-09,Brazil"
"Epic Games,Fintech,9.21,2021-05-31,USA"
"Databricks,AI,3.76,2016-03-03,China"
"UiPath,Health Tech,6.98,2022-01-14,India"
"Chime,E-commerce,4.54,2019-07-27,UK"
"Robinhood,Biotech,2.32,2020-02-08,Germany"
"Nubank,EdTech,8.76,2018-11-11,Brazil"
"Rivian,Fintech,5.10,2021-08-23,USA"
"Grab,AI,1.87,2016-05-06,China"
"Bytedance,Health Tech,7.43,2022-03-19,India"
"Didi Chuxing,E-commerce,3.21,2019-09-01,UK"
"Airbnb,Biotech,9.65,2020-12-14,Germany"
"Palantir,EdTech,2.98,2017-04-17,Brazil"
"DoorDash,Fintech,6.54,2021-11-29,USA"
"Snapchat,AI,4.32,2016-08-10,China"
"Pinterest,Health Tech,1.76,2022-02-22,India"
"WeWork,E-commerce,8.90,2019-06-05,UK"
"Stripe,Biotech,3.45,2020-01-18,Germany"
"SpaceX,EdTech,7.21,2018-05-21,Brazil"
"Instacart,Fintech,5.67,2021-10-03,USA"
"Klarna,AI,2.34,2016-02-15,China"
"Epic Games,Health Tech,9.87,2022-05-27,India"
"Databricks,E-commerce,1.23,2019-11-09,UK"
"UiPath,Biotech,6.78,2020-04-22,Germany"
"Chime,EdTech,4.56,2017-07-25,Brazil"
"Robinhood,Fintech,3.90,2021-12-07,USA"
"Nubank,AI,8.12,2016-09-18,China"
"Rivian,Health Tech,2.45,2022-03-02,India"
"Grab,E-commerce,7.89,2019-08-15,UK"
"Bytedance,Biotech,5.32,2020-03-28,Germany"
"Didi Chuxing,EdTech,1.67,2018-01-01,Brazil"
"Airbnb,Fintech,9.43,2021-06-13,USA"
"Palantir,AI,3.21,2016-10-26,China"
"DoorDash,Health Tech,6.98,2022-04-09,India"
"Snapchat,E-commerce,4.56,2019-12-22,UK"
"Pinterest,Biotech,2.10,2020-07-05,Germany"
"WeWork,EdTech,8.76,2017-11-18,Brazil"
"Stripe,Fintech,5.43,2021-09-30,USA"
"SpaceX,AI,1.98,2016-06-12,China"
"Instacart,Health Tech,7.65,2022-01-25,India"
"Klarna,E-commerce,3.89,2019-05-08,UK"
"Epic Games,Biotech,9.21,2020-10-21,Germany"
"Databricks,EdTech,2.54,2018-03-04,Brazil"
"UiPath,Fintech,6.87,2021-07-17,USA"
"Chime,AI,4.32,2016-11-29,China"
"Robinhood,Health Tech,1.76,2022-05-12,India"
"Nubank,E-commerce,8.90,2019-09-24,UK"
"Rivian,Biotech,3.45,2020-04-07,Germany"
"Grab,EdTech,7.21,2017-08-20,Brazil"
"Bytedance,Fintech,5.67,2021-12-02,USA"
"Didi Chuxing,AI,2.34,2016-07-15,China"
"Airbnb,Health Tech,9.87,2022-02-28,India"
"Palantir,E-commerce,1.23,2019-10-11,UK"
"DoorDash,Biotech,6.78,2020-05-24,Germany"
"Snapchat,EdTech,4.56,2018-02-06,Brazil"
"Pinterest,Fintech,3.90,2021-08-19,USA"
"WeWork,AI,8.12,2016-12-01,China"
"Stripe,Health Tech,2.45,2022-04-14,India"
"SpaceX,E-commerce,7.89,2019-07-27,UK"
"Instacart,Biotech,5.32,2020-02-09,Germany"
"Klarna,EdTech,1.67,2017-05-23,Brazil"
"Epic Games,Fintech,9.43,2021-11-05,USA"
"Databricks,AI,3.21,2016-08-17,China"
"UiPath,Health Tech,6.98,2022-03-30,India"
"Chime,E-commerce,4.56,2019-11-12,UK"
"Robinhood,Biotech,2.10,2020-06-25,Germany"
"Nubank,EdTech,8.76,2018-04-08,Brazil"
"Rivian,Fintech,5.43,2021-09-20,USA"
"Grab,AI,1.98,2016-05-03,China"
"Bytedance,Health Tech,7.65,2022-01-16,India"
"Didi Chuxing,E-commerce,3.89,2019-08-29,UK"
"Airbnb,Biotech,9.21,2020-03-13,Germany"
